PlantID,Fertilizer,Date,LeafSize_cm
D1,D,15/4/2025,2.6
D2,D,15/4/2025,2.5
Ds1,Ds,15/4/2025,2.5
Ds2,Ds,15/4/2025,2.1
Ds3,Ds,15/4/2025,2.3
Ds4,Ds,15/4/2025,1.5
B1,B,15/4/2025,2.65
B2,B,15/4/2025,2.5
Bs1,Bs,15/4/2025,2.5
Bs2,Bs,15/4/2025,2.4
Bs3,Bs,15/4/2025,3.0
Bs4,Bs,15/4/2025,2.5
X1,X,15/4/2025,2.15
X2,X,15/4/2025,2.5
Xs1,Xs,15/4/2025,2.8
Xs2,Xs,15/4/2025,2.5
Xs3,Xs,15/4/2025,2.5
Xs4,Xs,15/4/2025,2.7
C1,C,15/4/2025,1.9
C2,C,15/4/2025,2.8
C3,C,15/4/2025,2.4
Ctrl1,Ctrl,15/4/2025,2.7
Ctrl2,Ctrl,15/4/2025,2.4
Ctrl3,Ctrl,15/4/2025,2.4
D1,D,17/4/2025,3.0
D2,D,17/4/2025,2.5
Ds1,Ds,17/4/2025,2.5
Ds2,Ds,17/4/2025,2.3
Ds3,Ds,17/4/2025,2.3
Ds4,Ds,17/4/2025,2.0
B1,B,17/4/2025,3.0
B2,B,17/4/2025,3.0
Bs1,Bs,17/4/2025,3.0
Bs2,Bs,17/4/2025,3.0
Bs3,Bs,17/4/2025,3.0
Bs4,Bs,17/4/2025,2.5
X1,X,17/4/2025,2.5
X2,X,17/4/2025,2.5
Xs1,Xs,17/4/2025,3.5
Xs2,Xs,17/4/2025,3.0
Xs3,Xs,17/4/2025,2.8
Xs4,Xs,17/4/2025,4.0
C1,C,17/4/2025,2.0
C2,C,17/4/2025,3.0
C3,C,17/4/2025,3.0
Ctrl1,Ctrl,17/4/2025,3.0
Ctrl2,Ctrl,17/4/2025,3.0
Ctrl3,Ctrl,17/4/2025,2.5
D1,D,20/4/2025,3.0
D2,D,20/4/2025,4.0
Ds1,Ds,20/4/2025,4.2
Ds2,Ds,20/4/2025,2.5
Ds3,Ds,20/4/2025,4.0
Ds4,Ds,20/4/2025,2.2
B1,B,20/4/2025,4.5
B2,B,20/4/2025,4.0
Bs1,Bs,20/4/2025,4.0
Bs2,Bs,20/4/2025,3.5
Bs3,Bs,20/4/2025,4.2
Bs4,Bs,20/4/2025,3.5
X1,X,20/4/2025,4.5
X2,X,20/4/2025,4.0
Xs1,Xs,20/4/2025,4.75
Xs2,Xs,20/4/2025,4.5
Xs3,Xs,20/4/2025,4.3
Xs4,Xs,20/4/2025,4.5
C1,C,20/4/2025,2.5
C2,C,20/4/2025,4.0
C3,C,20/4/2025,3.5
Ctrl1,Ctrl,20/4/2025,4.0
Ctrl2,Ctrl,20/4/2025,3.5
Ctrl3,Ctrl,20/4/2025,3.5
D1,D,25/4/2025,3.91
D2,D,25/4/2025,4.94
Ds1,Ds,25/4/2025,5.49
Ds2,Ds,25/4/2025,3.37
Ds3,Ds,25/4/2025,5.09
Ds4,Ds,25/4/2025,2.75
B1,B,25/4/2025,6.6
B2,B,25/4/2025,5.84
Bs1,Bs,25/4/2025,5.71
Bs2,Bs,25/4/2025,5.18
Bs3,Bs,25/4/2025,6.28
Bs4,Bs,25/4/2025,5.28
X1,X,25/4/2025,5.89
X2,X,25/4/2025,5.02
Xs1,Xs,25/4/2025,5.91
Xs2,Xs,25/4/2025,5.46
Xs3,Xs,25/4/2025,5.44
Xs4,Xs,25/4/2025,5.69
C1,C,25/4/2025,3.16
C2,C,25/4/2025,5.37
C3,C,25/4/2025,4.53
Ctrl1,Ctrl,25/4/2025,4.73
Ctrl2,Ctrl,25/4/2025,4.33
Ctrl3,Ctrl,25/4/2025,4.19
D1,D,2/5/2025,4.41
D2,D,2/5/2025,5.71
Ds1,Ds,2/5/2025,6.27
Ds2,Ds,2/5/2025,3.94
Ds3,Ds,2/5/2025,5.8
Ds4,Ds,2/5/2025,3.23
B1,B,2/5/2025,7.96
B2,B,2/5/2025,7.44
Bs1,Bs,2/5/2025,6.95
Bs2,Bs,2/5/2025,6.49
Bs3,Bs,2/5/2025,8.07
Bs4,Bs,2/5/2025,6.66
X1,X,2/5/2025,6.67
X2,X,2/5/2025,5.64
Xs1,Xs,2/5/2025,6.87
Xs2,Xs,2/5/2025,6.24
Xs3,Xs,2/5/2025,6.25
Xs4,Xs,2/5/2025,6.44
C1,C,2/5/2025,3.76
C2,C,2/5/2025,6.18
C3,C,2/5/2025,5.04
Ctrl1,Ctrl,2/5/2025,5.1
Ctrl2,Ctrl,2/5/2025,4.62
Ctrl3,Ctrl,2/5/2025,4.69
